ID,Nom,Prénom,Âge,Sexe,Email,Pays,Ville,Salaire (€),Date d'embauche,Département,Télétravail (%),Performance (Note)
220,Hatfield,Antonio,47,Homme,jennifer92@yahoo.com,Isle of Man,North Chris,69544.0,2016-11-06,Marketing,40.0,4.0
221,Morales,Regina,19,Femme,morrowsara@miller-rhodes.com,Sierra Leone,North Jason,66447.0,2015-07-20,Finance,40.0,4.0
222,Gregory,Connie,49,Homme,mariochavez@moran.com,Saudi Arabia,Smithfurt,94693.0,2023-08-11,Finance,60.0,1.0
223,Stewart,Justin,62,Femme,nparsons@brown.org,Estonia,Jasonland,69615.0,2018-11-18,Informatique,0.0,3.0
225,Love,Nicholas,42,Homme,stephensonchristine@hotmail.com,Reunion,South Ryanborough,49397.0,2022-03-11,RH,60.0,4.0
226,Smith,Eric,21,Femme,beverlysmith@yahoo.com,Israel,Riverachester,114007.0,2019-05-10,Production,60.0,2.0
227,Carson,Amy,36,Homme,murphyjoshua@yahoo.com,Georgia,South Jocelynhaven,103654.0,2015-08-14,Marketing,100.0,4.0
228,Rice,Dylan,65,Femme,anne50@smith.biz,Chile,North Albertport,79052.0,2019-05-14,Finance,60.0,3.0
229,Davis,Greg,21,Femme,bhall@marshall.org,Belize,North Kyle,43898.0,2019-04-02,RH,0.0,2.0
230,Wilson,Samantha,60,Femme,wongalexander@gmail.com,Bolivia,South Christine,73483.0,2023-07-14,Finance,0.0,5.0
231,Banks,Danielle,30,Femme,phillipharper@robinson.com,Korea,West Anna,94511.0,2023-06-06,Finance,60.0,4.0
232,Russo,John,56,Femme,kvelasquez@yahoo.com,Solomon Islands,Hoodshire,106009.0,2020-11-05,Marketing,0.0,1.0
233,Ramirez,Natasha,53,Femme,crystal83@cain.biz,Norfolk Island,Jennifertown,34243.0,2024-01-28,Finance,0.0,1.0
234,Good,Colleen,40,Homme,monroejames@yahoo.com,Andorra,New Katrinashire,97283.0,2018-05-20,Informatique,20.0,2.0
235,Garcia,Sonya,23,Homme,jasongonzalez@todd-rivera.com,French Guiana,Ryanhaven,110754.0,2020-10-02,Informatique,,5.0
236,Nash,Timothy,41,Femme,barbaraperry@landry.org,Reunion,South Robert,46439.0,2019-04-16,RH,40.0,2.0
237,Sanders,Pamela,61,Homme,laurafloyd@yahoo.com,Central African Republic,Christineview,98979.0,2023-06-03,RH,100.0,5.0
238,Miller,Erika,50,Homme,annramos@hotmail.com,Svalbard & Jan Mayen Islands,West Laurenstad,40297.0,2016-03-11,Production,40.0,3.0
239,Hill,Bradley,29,Femme,schneideralicia@gmail.com,Trinidad and Tobago,West Matthew,105865.0,2020-12-11,Finance,100.0,2.0
240,Chavez,John,58,Homme,uwalker@gmail.com,Vietnam,Seanchester,74517.0,2024-11-12,RH,0.0,2.0
241,Sparks,Juan,38,Femme,nicholeturner@wilson-harvey.net,Tanzania,Port Jennifer,67453.0,2016-02-25,Marketing,80.0,3.0
242,Callahan,George,28,Femme,wscott@taylor-robertson.info,Syrian Arab Republic,Housestad,113832.0,2015-09-21,RH,,5.0
243,Anderson,John,61,Homme,xhensley@gmail.com,Northern Mariana Islands,Jacobshire,110083.0,2020-11-14,Informatique,40.0,4.0
244,Meyer,Jeremy,55,Femme,james14@watson-carter.com,Sudan,Thompsonchester,19339.0,2015-07-03,Finance,20.0,3.0
245,Curtis,Natalie,46,Femme,justin53@krause.com,Tajikistan,Port Deborahfort,101884.0,2023-08-26,Informatique,60.0,4.0
246,Reed,Steven,65,Femme,nicholsjohn@gmail.com,Zambia,East Amanda,101098.0,2024-04-29,RH,20.0,4.0
247,Wiggins,Nancy,58,Femme,ijohnson@hotmail.com,Brunei Darussalam,Kennedyfurt,54472.0,2024-06-02,RH,20.0,2.0
248,Ramirez,Devin,20,Homme,qcohen@harris.com,Hungary,Lake Richard,82427.0,2022-06-21,Informatique,20.0,2.0
249,Smith,Annette,45,Femme,harry14@hotmail.com,Canada,New Andrewstad,42992.0,2023-10-24,Logistique,40.0,5.0
250,Williams,Alexander,37,Homme,toddphillips@hotmail.com,Djibouti,Aprilmouth,109934.0,2024-01-15,Production,40.0,4.0
251,Becker,Sarah,43,Femme,woodsjames@adams-murphy.com,Qatar,South Mark,23774.0,2020-04-04,Production,0.0,4.0
252,Grant,Adam,41,Homme,wmontoya@anderson.info,Bouvet Island (Bouvetoya),South Anthonyville,103319.0,2015-07-10,RH,60.0,4.0
253,Potts,Peter,69,Homme,timothy40@yahoo.com,Iceland,Vanessaton,36109.0,2016-06-17,Production,80.0,3.0
254,Mays,Laurie,64,Femme,ewatkins@melton.com,Canada,Richardville,51281.0,2024-08-31,Informatique,80.0,3.0
255,Browning,Zoe,38,Homme,lmcmahon@hooper-blankenship.org,Congo,Lake Jacqueline,54342.0,2016-09-02,Finance,40.0,3.0
256,Williams,Andrew,47,Femme,aandersen@richardson.com,Central African Republic,Pierceville,98303.0,2022-06-25,RH,0.0,1.0
257,Curry,Madison,21,Femme,kennethwashington@reynolds.org,Libyan Arab Jamahiriya,Jamesfurt,91084.0,2015-07-14,Marketing,80.0,5.0
258,Miles,William,53,Homme,howard05@garcia.org,Holy See (Vatican City State),South Markchester,41723.0,2024-03-09,Logistique,0.0,1.0
259,Rios,Benjamin,57,Homme,navarropatricia@fitzgerald.net,United States of America,West Jeremy,102442.0,2019-11-13,Production,40.0,4.0
260,Joseph,Kimberly,27,Homme,matthew91@gmail.com,Mongolia,Gonzalezborough,35610.0,2015-09-01,Production,100.0,3.0
261,Orr,Daniel,27,Homme,tgreen@robinson-chapman.com,Niger,Adamfurt,40613.0,2015-06-24,Marketing,20.0,2.0
262,Bowman,Cheryl,59,Femme,prattshannon@gmail.com,Bosnia and Herzegovina,Nunezhaven,46327.0,2018-12-28,Logistique,80.0,4.0
263,Watson,Kimberly,41,Homme,gonzalesjeanne@king-smith.com,Andorra,Hamiltonmouth,116410.0,2015-12-18,Marketing,100.0,3.0
264,Medina,Emily,21,Femme,jessica56@smith.org,Senegal,Josephburgh,91195.0,2020-11-01,Logistique,0.0,4.0
265,Clark,Noah,64,Homme,bleon@hotmail.com,Reunion,Port Destiny,87888.0,2015-08-30,Informatique,60.0,3.0
266,Matthews,Anthony,44,Homme,andrew21@williams.com,Sudan,North Patrick,70410.0,2019-09-16,Logistique,60.0,4.0
267,Smith,Samuel,68,Femme,john91@contreras.com,Hungary,Mcconnellborough,45660.0,2023-08-15,Informatique,40.0,3.0
268,Hernandez,Robin,62,Homme,murraycynthia@lewis-swanson.info,Anguilla,Jillfurt,98683.0,2022-03-17,Production,40.0,3.0
269,Cook,Mason,21,Femme,michellejackson@lozano.com,Togo,East Cynthia,23046.0,2019-08-24,Logistique,20.0,4.0
270,Clarke,John,49,Homme,kscott@doyle-herrera.info,Ireland,East Jamesland,114637.0,2015-09-20,Finance,0.0,4.0
271,Higgins,Devin,27,Homme,davidlewis@garcia.com,Timor-Leste,Michaelburgh,108543.0,2023-06-25,Informatique,20.0,1.0
272,Morgan,William,28,Femme,cchavez@smith-jensen.net,Ethiopia,South Ashleychester,92518.0,2020-01-04,Logistique,0.0,3.0
273,Oliver,Amanda,45,Femme,davidevans@yahoo.com,Equatorial Guinea,Yoderberg,65903.0,2022-08-19,Informatique,80.0,3.0
274,Williams,Charles,63,Femme,ellisashley@yahoo.com,Zimbabwe,Garciabury,96196.0,2024-03-09,RH,0.0,3.0
275,Martin,Ricky,25,Femme,joann59@hotmail.com,Greece,Kimtown,79226.0,2023-08-29,Logistique,20.0,3.0
276,Holden,Donna,57,Femme,shannon19@yahoo.com,Sierra Leone,Ericside,86932.0,2023-09-03,RH,80.0,2.0
277,Roberts,Tammy,39,Femme,moranmichelle@hotmail.com,Rwanda,Wilkinsville,54730.0,2022-02-22,Informatique,100.0,2.0
278,Foster,Ryan,51,Femme,randallwendy@wall-garcia.com,Madagascar,Samuelchester,112035.0,2022-03-16,Finance,20.0,2.0
279,Kelley,Ryan,62,Homme,smithkaitlyn@black.info,Sudan,Heidiport,110332.0,2023-10-10,Production,60.0,3.0
280,Carter,Thomas,52,Femme,meredith84@gonzalez-garner.org,Mauritius,Osborntown,26913.0,2024-06-24,Marketing,0.0,3.0
281,Woods,Jeffrey,52,Homme,aparker@hotmail.com,Moldova,Kathleenhaven,94016.0,2018-12-13,Logistique,100.0,3.0
282,Allen,Ralph,42,Homme,petersonchristopher@yahoo.com,Benin,New Melissaview,99263.0,2020-07-16,Informatique,20.0,4.0
283,Williams,Deanna,51,Femme,lisa49@hotmail.com,Cote d'Ivoire,North Jennifer,42838.0,2023-04-22,Finance,0.0,3.0
284,White,Randy,23,Homme,andreagibson@alvarez-miller.com,Guinea,Ayalaland,87040.0,2021-04-21,Finance,0.0,3.0
285,Mills,Bonnie,58,Homme,michael55@reyes.com,Saint Pierre and Miquelon,Bradleyhaven,81160.0,2021-04-25,Finance,60.0,3.0
287,Powell,Whitney,18,Homme,katherine51@yahoo.com,Papua New Guinea,Floresview,116773.0,2024-11-30,Informatique,40.0,4.0
288,Murphy,Nicole,29,Femme,lguerra@nolan-phillips.com,Bangladesh,East Cherylhaven,77202.0,2021-03-06,Logistique,,3.0
289,Perry,Nathan,52,Homme,griffinjohn@gmail.com,Guatemala,Cameronbury,19188.0,2019-01-26,Logistique,0.0,5.0
290,Garcia,Andrew,23,Homme,jameslaura@hancock.com,Antigua and Barbuda,Jacobmouth,72772.0,2016-03-12,Finance,60.0,4.0
291,Kerr,Cheryl,34,Femme,jason27@gmail.com,Spain,West Deborahmouth,33424.0,2017-03-26,Finance,20.0,5.0
292,Wells,Thomas,26,Homme,bakerderrick@gmail.com,Egypt,New Markshire,100890.0,2025-01-22,Logistique,60.0,2.0
293,Randall,Joel,19,Homme,xwarren@hotmail.com,Macao,Denisemouth,47837.0,2015-09-07,Informatique,100.0,4.0
294,Cherry,Billy,35,Femme,cookbreanna@yahoo.com,Oman,Port Virginiamouth,49979.0,2021-02-04,Production,60.0,3.0
295,Cooper,Marc,66,Femme,brandonmeyer@yahoo.com,Pitcairn Islands,Williamsberg,76882.0,2017-10-23,Informatique,100.0,1.0
296,Mendoza,Lauren,53,Homme,hflores@baldwin.net,Switzerland,Thompsonville,86005.0,2021-05-15,RH,80.0,1.0
297,Lyons,Tamara,45,Homme,wilkinsamber@hernandez-baldwin.org,Iraq,East Randychester,107031.0,2024-05-05,Finance,40.0,3.0
298,Simmons,Daniel,58,Femme,chamilton@yahoo.com,Saudi Arabia,West Katiehaven,52526.0,2024-08-10,Production,0.0,3.0
299,Turner,Natalie,54,Homme,wardemma@peterson.com,Bermuda,Taylorfort,54817.0,2020-03-25,Marketing,0.0,1.0
300,Navarro,Brandon,66,Femme,wendygeorge@martin.com,Netherlands,Port Christinefurt,76883.0,2021-11-02,Informatique,20.0,3.0
301,Kline,Jennifer,43,Femme,tayloramy@price-wood.com,Palau,Howardchester,34495.0,2023-01-20,Finance,20.0,4.0
302,Gillespie,Anthony,21,Homme,briannasmith@peterson-downs.com,Bahrain,Johnsonmouth,97842.0,2022-11-11,Informatique,80.0,2.0
303,Sims,Robert,57,Femme,ortizmichael@hotmail.com,Madagascar,Besttown,90528.0,2023-07-03,Marketing,40.0,4.0
304,Bennett,Monica,53,Femme,jasonwarren@hotmail.com,Belarus,Karaburgh,85315.0,2015-09-08,Informatique,40.0,3.0
305,Villegas,Phillip,68,Homme,floresbrandi@oliver.info,Nicaragua,Martinmouth,88226.0,2023-11-03,Production,,3.0
306,Fowler,Sandra,48,Femme,alopez@yahoo.com,Gambia,Davidfurt,104834.0,2017-04-21,Marketing,60.0,3.0
307,Jones,Jennifer,47,Homme,edward25@townsend-brooks.com,Argentina,Beardton,69133.0,2022-05-30,RH,60.0,4.0
308,Miller,Cassandra,67,Homme,lori63@gmail.com,Iceland,Floresshire,86074.0,2015-08-21,RH,80.0,3.0
309,Brady,Evan,51,Homme,briddle@flynn.com,Antarctica (the territory South of 60 deg S),Reidmouth,80418.0,2025-03-06,Finance,0.0,3.0
310,Brown,Matthew,36,Femme,alexandertanya@stokes.biz,Montserrat,Port Yolanda,95852.0,2024-04-16,RH,100.0,1.0
311,Smith,Robert,35,Homme,ryanpitts@hotmail.com,Vanuatu,Port Richard,52595.0,2021-07-14,Informatique,20.0,4.0
312,Long,Brittany,47,Homme,fmendez@greene-mcgrath.biz,South Georgia and the South Sandwich Islands,Port Michaelbury,62826.0,2020-06-11,Production,20.0,2.0
313,Stone,Wendy,38,Homme,gregory51@dean.com,Tuvalu,West Anthonyhaven,86977.0,2020-11-29,RH,60.0,2.0
314,West,Justin,20,Homme,andrew75@lin-romero.com,Wallis and Futuna,Karenhaven,23479.0,2022-05-02,Finance,0.0,4.0
316,Richards,Sarah,55,Femme,roycindy@hotmail.com,Indonesia,Nelsonchester,79230.0,2016-01-28,Finance,,5.0
317,Shelton,Michael,30,Homme,walkerlaura@anderson-king.org,Isle of Man,Lake Clintonburgh,112405.0,2020-05-09,Finance,60.0,3.0
318,Henderson,Courtney,62,Femme,rachelprice@booth.info,Suriname,Michellestad,108239.0,2017-10-16,Production,20.0,3.0
319,Richardson,Katie,20,Femme,garnerrandy@cooper-salinas.com,Bolivia,Wilsonville,75515.0,2019-12-17,Logistique,100.0,3.0
320,Hinton,Crystal,65,Femme,randy93@yahoo.com,Guatemala,Port Kevinburgh,92835.0,2023-07-25,Production,20.0,3.0
321,Green,Karen,45,Homme,tylerdavid@doyle.biz,Syrian Arab Republic,Hernandezbury,71310.0,2020-12-14,Finance,0.0,2.0
322,Waters,James,39,Femme,hannah61@nelson-hernandez.com,Zimbabwe,Gregoryhaven,115098.0,2018-09-17,Finance,,4.0
323,Reynolds,Susan,57,Femme,frankclark@hotmail.com,Slovenia,Catherineton,62234.0,2019-02-03,RH,0.0,1.0
324,Howard,Gregory,57,Femme,garciawhitney@andrews-campbell.com,Croatia,Princeville,73945.0,2024-12-30,RH,60.0,5.0
325,Brown,Brandy,29,Femme,daniel45@hotmail.com,Palestinian Territory,East Michael,101163.0,2024-12-12,Marketing,80.0,4.0
326,Boyer,Kenneth,40,Femme,yusharon@gmail.com,Thailand,East Natasha,88371.0,2015-12-23,Logistique,100.0,5.0
327,Miles,Cynthia,48,Homme,jessica97@wu-matthews.com,Spain,Kelseymouth,37296.0,2015-06-16,Production,0.0,3.0
328,Leach,Kelly,35,Femme,qhenderson@watkins.net,Sao Tome and Principe,Shaunmouth,95555.0,2024-07-17,Logistique,40.0,5.0
330,Rhodes,Evelyn,25,Homme,lisa89@ross.com,Singapore,Ryanland,86990.0,2024-09-23,Finance,80.0,2.0
331,Wilson,Joseph,36,Homme,marcuspeters@williams.com,Syrian Arab Republic,Tammybury,114091.0,2021-04-02,RH,20.0,3.0
332,Sanders,Jessica,46,Homme,nicolehudson@hotmail.com,South Africa,Mitchellstad,79153.0,2024-06-20,Marketing,20.0,5.0
333,Clark,Michael,61,Homme,fclark@villa.com,China,Brianmouth,21901.0,2017-09-08,RH,,1.0
334,Williams,David,37,Femme,jasoncharles@gonzalez-harris.net,Argentina,West John,50236.0,2024-08-03,Finance,80.0,4.0
335,Gould,Christie,67,Femme,nespinoza@hotmail.com,Bangladesh,Meganmouth,114627.0,2022-12-08,RH,60.0,1.0
336,Lewis,Gabriel,59,Femme,melissa54@hall.org,Comoros,Mccoyview,104891.0,2022-04-25,RH,60.0,4.0
337,Thomas,Russell,47,Femme,ryan10@murphy.org,Mayotte,Thomasfort,77747.0,2024-08-29,Production,60.0,1.0
338,Gonzalez,Raymond,64,Femme,allenkristin@hotmail.com,Burundi,Robertville,110410.0,2024-09-06,Production,,2.0
339,Gray,Charles,39,Homme,myersedward@walker-young.com,Micronesia,North Larrybury,25831.0,2024-03-07,Marketing,100.0,2.0
340,Payne,Jennifer,27,Femme,jwoods@coleman.com,Ethiopia,New Anna,41805.0,2018-12-04,Marketing,60.0,3.0
341,Hernandez,Erin,43,Homme,gregg41@hayes-david.info,Morocco,North Tom,86328.0,2017-11-14,RH,0.0,3.0
342,Hinton,Kimberly,68,Homme,clee@hotmail.com,Kazakhstan,Robertstad,83815.0,2022-01-10,Production,20.0,1.0
343,Bird,Amy,50,Homme,marisapowell@baker-jackson.org,Denmark,Nathanmouth,92874.0,2022-06-15,Production,,3.0
345,Sullivan,Gary,27,Femme,torresmolly@gmail.com,India,South Anthonyhaven,31116.0,2019-02-14,Logistique,0.0,3.0
347,Rich,Jeremy,61,Homme,wpennington@armstrong.net,British Indian Ocean Territory (Chagos Archipelago),South Phillip,60639.0,2015-07-06,Informatique,60.0,5.0
348,Simpson,Alicia,35,Homme,brownstephanie@chavez-schneider.net,Faroe Islands,South Emily,80500.0,2023-11-03,Finance,20.0,2.0
349,Stark,Lori,59,Homme,fisherlaura@gmail.com,Suriname,Ericborough,89617.0,2019-01-27,Logistique,100.0,4.0
350,Morris,Michael,18,Homme,browndesiree@hotmail.com,Ethiopia,New Mary,118958.0,2019-05-12,Informatique,,3.0
351,Jimenez,Nicole,40,Homme,mcdowellalicia@flowers.com,Tanzania,Howellside,93749.0,2020-11-18,Informatique,20.0,4.0
352,Jimenez,Jill,34,Femme,gclayton@white.net,Samoa,Port Kathleenview,35194.0,2023-07-21,Informatique,100.0,3.0
353,Santiago,Jennifer,60,Homme,timothyjacobs@ross-williams.net,Pakistan,Ortizport,42318.0,2017-04-20,Production,20.0,2.0
354,Harris,Matthew,54,Homme,wigginsdavid@hotmail.com,Israel,East Douglas,116816.0,2024-07-27,RH,20.0,3.0
355,Lynch,David,48,Homme,sanchezmorgan@gmail.com,Bangladesh,West Nicholasview,50723.0,2023-12-29,Logistique,60.0,5.0
357,Peterson,Melissa,21,Homme,fmoore@berry.biz,Palau,East Stephaniebury,53907.0,2024-05-07,Logistique,0.0,2.0
358,Estes,Robert,69,Femme,zcarlson@yahoo.com,Vietnam,Millerview,87919.0,2019-09-27,Marketing,20.0,4.0
359,Nolan,Michelle,26,Homme,meganevans@hotmail.com,Moldova,Port Pamela,20845.0,2023-06-23,Finance,0.0,4.0
360,Meyers,Rachel,45,Femme,sandy43@hamilton.com,Sri Lanka,Port Williamburgh,89696.0,2023-08-06,Finance,20.0,2.0
361,Johnson,Matthew,47,Homme,turnerjames@ortiz.com,Madagascar,Smithmouth,44563.0,2020-10-08,Informatique,80.0,3.0
362,Hernandez,Walter,64,Homme,robertmarshall@gmail.com,Ukraine,Ginamouth,49002.0,2020-02-28,Marketing,0.0,5.0
363,Scott,Martin,41,Femme,philip19@yahoo.com,Hong Kong,Navarromouth,38477.0,2022-07-28,RH,20.0,5.0
364,Mueller,Heather,50,Homme,mercerdanielle@hotmail.com,Holy See (Vatican City State),New Brendaborough,38713.0,2021-02-21,Marketing,60.0,1.0
365,Kirby,Rhonda,37,Femme,alan63@gmail.com,New Caledonia,South George,62517.0,2017-05-13,Marketing,80.0,4.0
366,Aguilar,Tracey,26,Femme,perrymason@brock-james.com,Bhutan,Johnsonshire,38747.0,2024-11-05,Finance,,4.0
368,Roman,Kevin,41,Femme,rachelhardy@taylor-carter.info,Cameroon,South Robertton,29063.0,2020-10-22,Informatique,40.0,4.0
369,Jones,Nicole,31,Femme,adamschristine@taylor.com,Uruguay,Lewischester,27515.0,2020-11-14,Production,100.0,3.0
370,Miller,Victoria,35,Femme,kevin80@yahoo.com,Northern Mariana Islands,South Jeffreyland,57235.0,2017-02-25,Logistique,40.0,2.0
371,Melton,Michael,18,Homme,benjaminvaldez@gmail.com,French Guiana,Lake Chadland,30820.0,2023-09-23,Finance,20.0,2.0
372,Williams,Stacy,29,Femme,christopher50@hotmail.com,Somalia,North Annport,63531.0,2017-05-24,Marketing,100.0,4.0
373,Perez,William,46,Homme,jonathanbennett@yahoo.com,Cyprus,South John,18511.0,2017-09-12,Informatique,80.0,1.0
374,Williams,Tami,54,Homme,nmartin@hotmail.com,Kenya,West Catherine,22366.0,2020-04-08,RH,20.0,1.0
375,Smith,Wendy,43,Femme,millscourtney@sweeney.com,Tuvalu,Jenniferview,34654.0,2020-05-27,RH,40.0,4.0
376,Anthony,Lisa,50,Femme,joanbrown@hotmail.com,Somalia,Rodriguezville,44704.0,2022-01-10,Marketing,20.0,4.0
377,Rivera,Frances,60,Femme,eatonsusan@hotmail.com,Namibia,Wrightport,66611.0,2018-02-22,Production,0.0,4.0
378,Martin,Eric,32,Homme,stevensandrew@wright-strong.com,Philippines,West Thomas,83983.0,2018-08-21,Production,20.0,3.0
379,Hernandez,Adam,40,Femme,russellmarquez@schaefer.org,Congo,Lake Tyler,55237.0,2018-09-15,Informatique,60.0,4.0
380,Douglas,Caitlin,46,Femme,hallashley@fischer.org,Costa Rica,Jamestown,116347.0,2022-05-16,Logistique,20.0,4.0
381,Schmitt,Janet,38,Homme,alicia52@gmail.com,Luxembourg,West Angela,82667.0,2020-10-26,Finance,,3.0
382,Wagner,Selena,36,Femme,colonconnor@gmail.com,Comoros,Melissaville,58294.0,2017-10-24,Production,0.0,1.0
383,Santana,Zachary,22,Homme,robert84@bell.com,Niger,North Johnathan,62759.0,2015-11-13,RH,60.0,4.0
385,Berry,Deborah,53,Homme,patricklopez@hotmail.com,Congo,Rachaelland,119664.0,2024-08-28,RH,0.0,5.0
386,Gregory,Jamie,37,Femme,ronald42@dickson.info,Ethiopia,Vangton,20881.0,2015-09-23,Logistique,80.0,4.0
387,Trujillo,Dawn,25,Homme,annflynn@hotmail.com,Jersey,North Kathleentown,86373.0,2015-05-12,Production,40.0,1.0
388,Chang,Tina,26,Femme,seancummings@ortiz.com,El Salvador,East Teresa,79881.0,2021-10-06,Marketing,40.0,3.0
389,Mooney,Daniel,31,Femme,josephpalmer@hotmail.com,Mauritius,West Dominiqueburgh,69780.0,2024-06-25,Production,80.0,1.0
390,Burgess,Haley,23,Homme,manderson@hotmail.com,Mauritius,North Ashleyville,107901.0,2022-08-26,Production,80.0,3.0
391,Bullock,Christina,18,Femme,shanesmith@yahoo.com,Sao Tome and Principe,Lake Alicia,117304.0,2019-04-17,Informatique,80.0,4.0
392,Harris,Nicholas,26,Femme,schwartzerica@yahoo.com,Dominica,Feliciaton,39272.0,2022-10-30,Finance,0.0,4.0
393,Nichols,Laura,33,Homme,nancyadams@yahoo.com,Equatorial Guinea,West Tracyton,61350.0,2024-03-25,Logistique,,4.0
394,George,Alex,33,Homme,jennifermurphy@hotmail.com,Montenegro,South Stephaniestad,32609.0,2016-10-28,Production,100.0,2.0
395,Petersen,Patricia,29,Femme,ybaxter@rivera-lee.com,Lesotho,Finleyburgh,103940.0,2015-09-18,Production,100.0,2.0
396,Olson,Lisa,22,Homme,nmueller@martin-lopez.com,Niger,East Aprilfort,110933.0,2022-05-22,Finance,60.0,4.0
397,Gibbs,Timothy,57,Femme,carneyrandy@mccoy-johnson.org,New Zealand,Port Amber,39729.0,2018-01-15,RH,20.0,3.0
398,Price,Daniel,46,Femme,diana93@yahoo.com,South Georgia and the South Sandwich Islands,North Nicolemouth,29858.0,2022-09-07,Logistique,80.0,3.0
399,Willis,Shawn,63,Homme,rrodriguez@hotmail.com,Burundi,North Brandi,73050.0,2021-07-08,Finance,80.0,2.0
400,York,Breanna,44,Homme,wademichael@hotmail.com,Panama,East Meredith,118926.0,2023-12-14,Production,20.0,3.0
401,Yates,Jon,28,Femme,howardsteven@collins.com,Serbia,Jeffreyshire,52333.0,2023-11-03,Marketing,100.0,3.0
402,Sandoval,Tommy,64,Homme,mathewscarrie@simpson.net,Pitcairn Islands,Justinland,50907.0,2020-02-17,Informatique,40.0,4.0
403,Smith,Kimberly,67,Femme,jmcmahon@gmail.com,Libyan Arab Jamahiriya,Changhaven,93934.0,2023-01-20,Informatique,20.0,4.0
404,White,Sandra,45,Homme,heathconnie@hotmail.com,Egypt,Hallton,59287.0,2019-08-01,Finance,,4.0
405,Hunter,Anna,69,Femme,christophersaunders@hotmail.com,Antarctica (the territory South of 60 deg S),Lake Randyshire,54410.0,2022-06-08,Finance,100.0,4.0
406,Scott,Margaret,53,Femme,tharvey@yahoo.com,Norway,Wagnershire,96814.0,2015-06-02,RH,80.0,2.0
407,Jones,Christian,59,Femme,mooretiffany@hotmail.com,Greenland,Brooksborough,114298.0,2016-10-04,Informatique,40.0,3.0
408,Heath,Melissa,36,Femme,lnoble@gmail.com,Belarus,Port Crystalborough,42533.0,2020-08-23,Finance,20.0,1.0
409,Hahn,Samantha,52,Femme,ruizjennifer@hotmail.com,Nigeria,Katrinabury,40855.0,2023-03-27,Logistique,100.0,3.0
411,Russell,Maria,48,Femme,cford@thomas.com,Liberia,Port Brittany,51260.0,2022-02-23,Production,80.0,2.0
412,Patrick,Melissa,61,Homme,brendahendrix@hotmail.com,Uruguay,Javierfurt,34723.0,2023-07-12,Marketing,40.0,3.0
413,Brown,Natalie,36,Homme,thompsonadam@hotmail.com,Iraq,Susanstad,48745.0,2017-04-26,Logistique,0.0,2.0
414,Davidson,Zachary,63,Homme,aramirez@hotmail.com,Cocos (Keeling) Islands,Kendratown,77565.0,2017-04-26,Marketing,60.0,3.0
415,Anderson,Charlene,41,Femme,kevin00@gmail.com,Lao People's Democratic Republic,North Whitneyshire,52169.0,2018-10-19,Logistique,80.0,1.0
417,Greer,Jean,24,Homme,adamsandrew@obrien-jones.com,Antigua and Barbuda,East Joe,18884.0,2015-07-07,RH,80.0,4.0
418,Brown,Richard,60,Homme,kgill@allen.net,Kazakhstan,Jamesville,57892.0,2023-12-08,RH,40.0,4.0
419,Johnson,Andrew,66,Homme,solistracy@brewer.org,Rwanda,South Stevenview,22081.0,2017-02-28,RH,60.0,4.0
420,Butler,Dennis,48,Femme,walshstephanie@tate-baker.com,Cyprus,Bakerchester,18851.0,2017-10-30,Logistique,0.0,2.0
421,Vasquez,Paul,34,Femme,lauren18@gmail.com,Czech Republic,Bellhaven,102217.0,2017-01-10,RH,20.0,5.0
423,Love,Annette,53,Femme,ericgomez@gmail.com,Niger,Montgomerystad,106508.0,2019-05-09,Logistique,20.0,4.0
424,Nunez,Sabrina,67,Femme,gmcdowell@yahoo.com,Mauritania,Annchester,62761.0,2017-03-19,Logistique,40.0,3.0
425,Hernandez,Sarah,60,Femme,watsonraymond@ochoa.net,Tajikistan,North Thomas,76887.0,2017-02-17,RH,60.0,3.0
426,Hatfield,Christopher,27,Femme,sarah95@goodwin.com,Saint Barthelemy,Port Larryburgh,70156.0,2016-09-20,Marketing,80.0,4.0
427,Jenkins,Brianna,62,Femme,lauramurphy@moss.com,Turkmenistan,West Kelly,48885.0,2017-08-10,Logistique,20.0,4.0
428,Carr,Matthew,31,Homme,steven16@gmail.com,Oman,Maryport,33956.0,2016-09-14,Marketing,0.0,3.0
429,Hughes,William,24,Femme,rachel99@hotmail.com,Senegal,East Brittany,74314.0,2018-06-25,Logistique,100.0,4.0
430,Williams,Stanley,56,Homme,amywood@lowery-brown.biz,Djibouti,East Sabrina,48992.0,2024-06-23,Informatique,80.0,3.0
431,Ruiz,Timothy,57,Femme,joshua02@yahoo.com,Reunion,North Glendaland,64765.0,2020-07-15,Finance,80.0,4.0
432,Hernandez,Cristian,26,Homme,jamescoleman@hotmail.com,Iraq,East Travisview,19512.0,2024-11-03,Production,0.0,4.0
433,Johnson,Marissa,31,Homme,gregorymontgomery@davis.biz,Albania,Port Carolynchester,58481.0,2023-09-03,Marketing,40.0,3.0
434,Williamson,Tracy,25,Femme,jason99@mccarty.com,Tanzania,North Nicole,107953.0,2025-01-24,Marketing,40.0,2.0
435,Soto,Deanna,34,Homme,michaelparrish@yahoo.com,Norway,Jonathanshire,44433.0,2018-03-19,Logistique,40.0,3.0
436,Garcia,Thomas,40,Femme,liroger@hotmail.com,Dominican Republic,Liborough,73497.0,2025-03-19,Informatique,100.0,3.0
